sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 1, 7, 4847, 0.006037
224, 10, 2, 7, 4847, 0.006049
224, 10, 3, 7, 4847, 0.006115
224, 10, 4, 7, 4847, 0.006108
224, 10, 5, 7, 4847, 0.006097
224, 10, 6, 7, 4847, 0.006092
224, 10, 7, 7, 4847, 0.006163
224, 10, 8, 7, 4847, 0.006095
224, 10, 9, 7, 4847, 0.006077
