sec par, # entries, total bytes, total_time
1024, 10, 5634, 0.043369
1024, 10, 5634, 0.040630
1024, 10, 5634, 0.041098
1024, 10, 5634, 0.042964
1024, 10, 5634, 0.041706
1024, 10, 5634, 0.042653
1024, 10, 5634, 0.044320
1024, 10, 5634, 0.043470
1024, 10, 5634, 0.041927
1024, 10, 5634, 0.040937
1024, 20, 10754, 0.073095
1024, 20, 10754, 0.071755
1024, 20, 10754, 0.071119
1024, 20, 10752, 0.073895
1024, 20, 10754, 0.074694
1024, 20, 10754, 0.073881
1024, 20, 10754, 0.070680
1024, 20, 10754, 0.075038
1024, 20, 10752, 0.072688
1024, 20, 10754, 0.071569
1024, 30, 15874, 0.102841
1024, 30, 15874, 0.104656
1024, 30, 15872, 0.102537
1024, 30, 15874, 0.103315
1024, 30, 15874, 0.101978
1024, 30, 15874, 0.105771
1024, 30, 15874, 0.103713
1024, 30, 15874, 0.101787
1024, 30, 15872, 0.104326
1024, 30, 15874, 0.102430
1024, 40, 20994, 0.138451
1024, 40, 20994, 0.135072
1024, 40, 20994, 0.132102
1024, 40, 20994, 0.131967
1024, 40, 20994, 0.134232
1024, 40, 20994, 0.149862
1024, 40, 20994, 0.134305
1024, 40, 20992, 0.133309
1024, 40, 20994, 0.132594
1024, 40, 20992, 0.132413
1024, 50, 26112, 0.168904
1024, 50, 26110, 0.169184
1024, 50, 26112, 0.170227
1024, 50, 26112, 0.165331
1024, 50, 26112, 0.163961
1024, 50, 26114, 0.172988
1024, 50, 26114, 0.193012
1024, 50, 26114, 0.169771
1024, 50, 26114, 0.170137
1024, 50, 26114, 0.172790
1024, 60, 31232, 0.200834
1024, 60, 31228, 0.194693
1024, 60, 31234, 0.201344
1024, 60, 31232, 0.195059
1024, 60, 31234, 0.195824
1024, 60, 31234, 0.201437
1024, 60, 31230, 0.195517
1024, 60, 31232, 0.229819
1024, 60, 31234, 0.229760
1024, 60, 31234, 0.194263
1024, 70, 36354, 0.221900
1024, 70, 36354, 0.225032
1024, 70, 36354, 0.243642
1024, 70, 36352, 0.240391
1024, 70, 36348, 0.233634
1024, 70, 36352, 0.229970
1024, 70, 36348, 0.231174
1024, 70, 36354, 0.223369
1024, 70, 36350, 0.227807
1024, 70, 36354, 0.223232
1024, 80, 41468, 0.257381
1024, 80, 41472, 0.262218
1024, 80, 41470, 0.255783
1024, 80, 41472, 0.256096
1024, 80, 41474, 0.334795
1024, 80, 41472, 0.355435
1024, 80, 41474, 0.520323
1024, 80, 41474, 0.721518
1024, 80, 41472, 0.375613
1024, 80, 41472, 0.296295
1024, 90, 46588, 0.321571
1024, 90, 46590, 0.458222
1024, 90, 46592, 0.386483
1024, 90, 46592, 0.329593
1024, 90, 46594, 0.314727
1024, 90, 46592, 0.370716
1024, 90, 46594, 0.309800
1024, 90, 46588, 0.321641
1024, 90, 46594, 0.403824
1024, 90, 46594, 0.347800
1024, 100, 51714, 0.331685
1024, 100, 51712, 0.328012
1024, 100, 51712, 0.334973
1024, 100, 51714, 0.349575
1024, 100, 51706, 0.419480
1024, 100, 51712, 0.378280
1024, 100, 51712, 0.418341
1024, 100, 51712, 0.324289
1024, 100, 51710, 0.431578
1024, 100, 51712, 0.316227
