sec par, # entries, total bytes, total_time
128, 10, 706, 0.012959
128, 10, 706, 0.012748
128, 10, 706, 0.013402
128, 10, 706, 0.012381
128, 10, 706, 0.012995
-------------------------------------------
128, 20, 1346, 0.015846
128, 20, 1346, 0.015451
128, 20, 1346, 0.014829
128, 20, 1346, 0.016043
128, 20, 1344, 0.014444
-------------------------------------------
128, 30, 1986, 0.017641
128, 30, 1986, 0.017419
128, 30, 1984, 0.018257
128, 30, 1986, 0.018121
128, 30, 1984, 0.017920
-------------------------------------------
128, 40, 2626, 0.020649
128, 40, 2626, 0.021505
128, 40, 2626, 0.021741
128, 40, 2626, 0.021247
128, 40, 2626, 0.020999
-------------------------------------------
128, 50, 3266, 0.023038
128, 50, 3264, 0.023246
128, 50, 3264, 0.023033
128, 50, 3264, 0.023279
128, 50, 3266, 0.023471
-------------------------------------------
128, 60, 3904, 0.025897
128, 60, 3904, 0.026124
128, 60, 3906, 0.026254
128, 60, 3904, 0.025677
128, 60, 3904, 0.025521
-------------------------------------------
128, 70, 4546, 0.027458
128, 70, 4546, 0.028804
128, 70, 4544, 0.029317
128, 70, 4546, 0.028319
128, 70, 4546, 0.028289
-------------------------------------------
128, 80, 5184, 0.031388
128, 80, 5184, 0.031446
128, 80, 5184, 0.035394
128, 80, 5184, 0.030923
128, 80, 5186, 0.031677
-------------------------------------------
128, 90, 5826, 0.033732
128, 90, 5824, 0.033195
128, 90, 5826, 0.035241
128, 90, 5826, 0.034211
128, 90, 5822, 0.034335
-------------------------------------------
128, 100, 6466, 0.036914
128, 100, 6464, 0.036351
128, 100, 6466, 0.037809
128, 100, 6462, 0.037494
128, 100, 6466, 0.038176
-------------------------------------------
