sec par, # entries, total bytes, total_time
2048, 10, 11264, 0.192406
2048, 10, 11266, 0.193496
2048, 10, 11266, 0.196740
2048, 10, 11266, 0.197622
2048, 10, 11266, 0.191838
-------------------------------------------
2048, 20, 21506, 0.371608
2048, 20, 21506, 0.373569
2048, 20, 21506, 0.404148
2048, 20, 21506, 0.372204
2048, 20, 21506, 0.368346
-------------------------------------------
2048, 30, 31746, 0.543666
2048, 30, 31746, 0.548721
2048, 30, 31746, 0.544886
2048, 30, 31744, 0.546325
2048, 30, 31744, 0.549367
-------------------------------------------
2048, 40, 41986, 0.724015
2048, 40, 41984, 0.722808
2048, 40, 41986, 0.729774
2048, 40, 41986, 0.726305
2048, 40, 41986, 0.763920
-------------------------------------------
2048, 50, 52226, 0.906170
2048, 50, 52224, 0.936067
2048, 50, 52224, 0.908499
2048, 50, 52226, 0.942543
2048, 50, 52226, 0.908429
-------------------------------------------
2048, 60, 62464, 1.090739
2048, 60, 62466, 1.079496
2048, 60, 62466, 1.122871
2048, 60, 62462, 1.150877
2048, 60, 62462, 1.081364
-------------------------------------------
2048, 70, 72704, 1.256734
2048, 70, 72704, 1.273600
2048, 70, 72704, 1.278963
2048, 70, 72702, 1.255415
2048, 70, 72706, 1.454241
-------------------------------------------
2048, 80, 82944, 1.426197
2048, 80, 82946, 1.434467
2048, 80, 82946, 1.444139
2048, 80, 82944, 1.431055
2048, 80, 82944, 1.440543
-------------------------------------------
2048, 90, 93186, 1.622513
2048, 90, 93184, 1.607294
2048, 90, 93186, 1.605873
2048, 90, 93186, 1.668872
2048, 90, 93184, 1.655180
-------------------------------------------
2048, 100, 103418, 1.798244
2048, 100, 103424, 1.847852
2048, 100, 103426, 1.794714
2048, 100, 103426, 1.779604
2048, 100, 103424, 1.785572
-------------------------------------------
