sec par, # entries, total bytes, total_time
1024, 10, 2927, 0.015129
1024, 10, 2927, 0.014767
1024, 10, 2927, 0.015448
1024, 10, 2927, 0.014718
1024, 10, 2927, 0.015013
-------------------------------------------
1024, 20, 5527, 0.020876
1024, 20, 5527, 0.022543
1024, 20, 5527, 0.021173
1024, 20, 5527, 0.021457
1024, 20, 5527, 0.024796
-------------------------------------------
1024, 30, 8127, 0.027112
1024, 30, 8127, 0.026804
1024, 30, 8127, 0.026754
1024, 30, 8127, 0.027744
1024, 30, 8127, 0.027333
-------------------------------------------
1024, 40, 10727, 0.033254
1024, 40, 10727, 0.032970
1024, 40, 10727, 0.032612
1024, 40, 10727, 0.033494
1024, 40, 10727, 0.033947
-------------------------------------------
1024, 50, 13327, 0.039819
1024, 50, 13327, 0.041743
1024, 50, 13327, 0.038447
1024, 50, 13327, 0.040144
1024, 50, 13327, 0.038409
-------------------------------------------
1024, 60, 15927, 0.048037
1024, 60, 15927, 0.046579
1024, 60, 15927, 0.048154
1024, 60, 15927, 0.047692
1024, 60, 15927, 0.049711
-------------------------------------------
1024, 70, 18527, 0.053705
1024, 70, 18527, 0.054046
1024, 70, 18527, 0.058989
1024, 70, 18527, 0.052395
1024, 70, 18527, 0.053727
-------------------------------------------
1024, 80, 21127, 0.058366
1024, 80, 21127, 0.067863
1024, 80, 21127, 0.065014
1024, 80, 21127, 0.055686
1024, 80, 21127, 0.056768
-------------------------------------------
1024, 90, 23727, 0.061650
1024, 90, 23727, 0.239960
1024, 90, 23727, 0.063326
1024, 90, 23727, 0.063249
1024, 90, 23727, 0.062295
-------------------------------------------
1024, 100, 26327, 0.071550
1024, 100, 26327, 0.071990
1024, 100, 26327, 0.070159
1024, 100, 26327, 0.075120
1024, 100, 26327, 0.068903
-------------------------------------------
