sec par, # entries, total bytes, total_time
256, 10, 2927, 0.015023
256, 10, 2927, 0.015564
256, 10, 2927, 0.015909
256, 10, 2927, 0.014891
256, 10, 2927, 0.014890
-------------------------------------------
256, 20, 5527, 0.020844
256, 20, 5527, 0.022160
256, 20, 5527, 0.020725
256, 20, 5527, 0.021882
256, 20, 5527, 0.020952
-------------------------------------------
256, 30, 8127, 0.026638
256, 30, 8127, 0.028372
256, 30, 8127, 0.027372
256, 30, 8127, 0.028417
256, 30, 8127, 0.027383
-------------------------------------------
256, 40, 10727, 0.032140
256, 40, 10727, 0.033304
256, 40, 10727, 0.033567
256, 40, 10727, 0.032999
256, 40, 10727, 0.032587
-------------------------------------------
256, 50, 13327, 0.040730
256, 50, 13327, 0.037959
256, 50, 13327, 0.038439
256, 50, 13327, 0.048408
256, 50, 13327, 0.041243
-------------------------------------------
256, 60, 15927, 0.049212
256, 60, 15927, 0.047230
256, 60, 15927, 0.049292
256, 60, 15927, 0.047964
256, 60, 15927, 0.046028
-------------------------------------------
256, 70, 18527, 0.055851
256, 70, 18527, 0.061851
256, 70, 18527, 0.053836
256, 70, 18527, 0.054968
256, 70, 18527, 0.070559
-------------------------------------------
256, 80, 21127, 0.060762
256, 80, 21127, 0.059988
256, 80, 21127, 0.059174
256, 80, 21127, 0.058493
256, 80, 21127, 0.057616
-------------------------------------------
256, 90, 23727, 0.070958
256, 90, 23727, 0.069068
256, 90, 23727, 0.065090
256, 90, 23727, 0.066588
256, 90, 23727, 0.074389
-------------------------------------------
256, 100, 26327, 0.069506
256, 100, 26327, 0.072607
256, 100, 26327, 0.072581
256, 100, 26327, 0.073609
256, 100, 26327, 0.072528
-------------------------------------------
